Postcode,In Use?,Latitude,Longitude,Easting,Northing,GridRef,County,District,Ward,DistrictCode,WardCode,Country,CountyCode,Constituency,Introduced,Terminated,Parish,NationalPark,Population,Households,Built up area,Built up sub-division,Lower layer super output area,Rural/urban,Region,Altitude,London zone,LSOA Code,Local authority
BR1 1HA,Yes,51.403765,0.014448,540217,169118,TQ402691,"Greater London","Bromley","Bromley Town", E09000006,E05000109,England,E11000009,"Bromley and Chislehurst",1980-01-01,,"","",,,"Greater London","Bromley","Bromley 018C","Urban major conurbation",London,69,5,E01000677,
BR1 1HD,Yes,51.403891,0.016582,540365,169136,TQ403691,"Greater London","Bromley","Bromley Town", E09000006,E05000109,England,E11000009,"Bromley and Chislehurst",1980-01-01,,"","",,,"Greater London","Bromley","Bromley 008B","Urban major conurbation",London,75,5,E01000676,
BR1 1HE,Yes,51.405208,0.014253,540199,169278,TQ401692,"Greater London","Bromley","Bromley Town", E09000006,E05000109,England,E11000009,"Bromley and Chislehurst",1980-01-01,,"","",,,"Greater London","Bromley","Bromley 018C","Urban major conurbation",London,73,4,E01000677,
BR1 1HF,Yes,51.402902,0.014971,540256,169023,TQ402690,"Greater London","Bromley","Bromley Town", E09000006,E05000109,England,E11000009,"Bromley and Chislehurst",1980-01-01,,"","",,,"Greater London","Bromley","Bromley 018C","Urban major conurbation",London,67,5,E01000677,
BR1 1HG,Yes,51.403723,0.014849,540245,169114,TQ402691,"Greater London","Bromley","Bromley Town", E09000006,E05000109,England,E11000009,"Bromley and Chislehurst",1980-01-01,,"","",,,"Greater London","Bromley","Bromley 018C","Urban major conurbation",London,70,5,E01000677,
BR1 1HN,Yes,51.40039,0.015177,540278,168744,TQ402687,"Greater London","Bromley","Bromley Town", E09000006,E05000109,England,E11000009,"Bromley and Chislehurst",1980-01-01,,"","",45,22,"Greater London","Bromley","Bromley 018B","Urban major conurbation",London,52,5,E01000675,
BR1 1HP,Yes,51.400781,0.014403,540223,168786,TQ402687,"Greater London","Bromley","Bromley Town", E09000006,E05000109,England,E11000009,"Bromley and Chislehurst",1980-01-01,,"","",36,15,"Greater London","Bromley","Bromley 018B","Urban major conurbation",London,51,5,E01000675,
BR1 1HR,Yes,51.401648,0.014715,540242,168883,TQ402688,"Greater London","Bromley","Bromley Town", E09000006,E05000109,England,E11000009,"Bromley and Chislehurst",2000-06-01,,"","",11,7,"Greater London","Bromley","Bromley 018B","Urban major conurbation",London,58,5,E01000675,
BR1 1HS,Yes,51.401562,0.014467,540225,168873,TQ402688,"Greater London","Bromley","Bromley Town", E09000006,E05000109,England,E11000009,"Bromley and Chislehurst",1980-01-01,,"","",14,6,"Greater London","Bromley","Bromley 018B","Urban major conurbation",London,56,5,E01000675,
BR1 1HT,Yes,51.401521,0.014249,540210,168868,TQ402688,"Greater London","Bromley","Bromley Town", E09000006,E05000109,England,E11000009,"Bromley and Chislehurst",1980-01-01,,"","",28,18,"Greater London","Bromley","Bromley 018B","Urban major conurbation",London,54,5,E01000675,
BR1 1HU,Yes,51.402095,0.014821,540248,168933,TQ402689,"Greater London","Bromley","Bromley Town", E09000006,E05000109,England,E11000009,"Bromley and Chislehurst",1980-01-01,,"","",,,"Greater London","Bromley","Bromley 018B","Urban major conurbation",London,62,5,E01000675,
BR1 1HW,Yes,51.400948,0.013548,540163,168803,TQ401688,"Greater London","Bromley","Bromley Town", E09000006,E05000109,England,E11000009,"Bromley and Chislehurst",1980-01-01,,"","",86,40,"Greater London","Bromley","Bromley 018B","Urban major conurbation",London,46,5,E01000675,
BR1 1HX,Yes,51.401141,0.014391,540221,168826,TQ402688,"Greater London","Bromley","Bromley Town", E09000006,E05000109,England,E11000009,"Bromley and Chislehurst",2005-10-01,,"","",,,"Greater London","Bromley","Bromley 018B","Urban major conurbation",London,53,5,E01000675,
BR1 1HZ,Yes,51.401794,0.014017,540193,168898,TQ401688,"Greater London","Bromley","Bromley Town", E09000006,E05000109,England,E11000009,"Bromley and Chislehurst",1980-01-01,,"","",8,4,"Greater London","Bromley","Bromley 018B","Urban major conurbation",London,55,5,E01000675,
BR1 1JA,Yes,51.401897,0.014323,540214,168910,TQ402689,"Greater London","Bromley","Bromley Town", E09000006,E05000109,England,E11000009,"Bromley and Chislehurst",1980-01-01,,"","",11,8,"Greater London","Bromley","Bromley 018B","Urban major conurbation",London,58,5,E01000675,
BR1 1JB,Yes,51.40257,0.014396,540217,168985,TQ402689,"Greater London","Bromley","Bromley Town", E09000006,E05000109,England,E11000009,"Bromley and Chislehurst",1980-01-01,,"","",81,39,"Greater London","Bromley","Bromley 018C","Urban major conurbation",London,62,5,E01000677,
BR1 1JD,Yes,51.404847,0.01533,540275,169240,TQ402692,"Greater London","Bromley","Bromley Town", E09000006,E05000109,England,E11000009,"Bromley and Chislehurst",1980-01-01,,"","",,,"Greater London","Bromley","Bromley 008B","Urban major conurbation",London,75,4,E01000676,
BR1 1JF,Yes,51.404272,0.015333,540277,169176,TQ402691,"Greater London","Bromley","Bromley Town", E09000006,E05000109,England,E11000009,"Bromley and Chislehurst",1980-01-01,,"","",,,"Greater London","Bromley","Bromley 008B","Urban major conurbation",London,74,5,E01000676,
BR1 1JH,Yes,51.404506,0.015315,540275,169202,TQ402692,"Greater London","Bromley","Bromley Town", E09000006,E05000109,England,E11000009,"Bromley and Chislehurst",1980-01-01,,"","",,,"Greater London","Bromley","Bromley 008B","Urban major conurbation",London,74,4,E01000676,
BR1 1JL,Yes,51.40404,0.015237,540271,169150,TQ402691,"Greater London","Bromley","Bromley Town", E09000006,E05000109,England,E11000009,"Bromley and Chislehurst",1980-01-01,,"","",,,"Greater London","Bromley","Bromley 008B","Urban major conurbation",London,73,5,E01000676,
BR1 1JN,Yes,51.406873,0.015189,540259,169465,TQ402694,"Greater London","Bromley","Bromley Town", E09000006,E05000109,England,E11000009,"Bromley and Chislehurst",1983-07-01,,"","",,,"Greater London","Bromley","Bromley 018B","Urban major conurbation",London,70,4,E01000675,
BR1 1JQ,Yes,51.403497,0.0154,540284,169090,TQ402690,"Greater London","Bromley","Bromley Town", E09000006,E05000109,England,E11000009,"Bromley and Chislehurst",1980-01-01,,"","",,,"Greater London","Bromley","Bromley 018B","Urban major conurbation",London,71,5,E01000675,
BR1 1JW,Yes,51.402884,0.015517,540294,169022,TQ402690,"Greater London","Bromley","Bromley Town", E09000006,E05000109,England,E11000009,"Bromley and Chislehurst",1980-01-01,,"","",,,"Greater London","Bromley","Bromley 018B","Urban major conurbation",London,70,5,E01000675,
BR1 1JY,Yes,51.402027,0.016155,540341,168928,TQ403689,"Greater London","Bromley","Bromley Town", E09000006,E05000109,England,E11000009,"Bromley and Chislehurst",1980-01-01,,"","",,,"Greater London","Bromley","Bromley 018B","Urban major conurbation",London,66,5,E01000675,
BR1 1LA,Yes,51.401365,0.017003,540402,168856,TQ404688,"Greater London","Bromley","Bromley Town", E09000006,E05000109,England,E11000009,"Bromley and Chislehurst",2000-06-01,,"","",1,1,"Greater London","Bromley","Bromley 018B","Urban major conurbation",London,63,5,E01000675,
BR1 1LD,Yes,51.401207,0.016794,540388,168838,TQ403688,"Greater London","Bromley","Bromley Town", E09000006,E05000109,England,E11000009,"Bromley and Chislehurst",1980-01-01,,"","",,,"Greater London","Bromley","Bromley 018B","Urban major conurbation",London,63,5,E01000675,
BR1 1LE,Yes,51.401435,0.016618,540375,168863,TQ403688,"Greater London","Bromley","Bromley Town", E09000006,E05000109,England,E11000009,"Bromley and Chislehurst",1980-01-01,,"","",,,"Greater London","Bromley","Bromley 018B","Urban major conurbation",London,64,5,E01000675,
BR1 1LF,Yes,51.400525,0.017239,540421,168763,TQ404687,"Greater London","Bromley","Bromley Town", E09000006,E05000109,England,E11000009,"Bromley and Chislehurst",1980-01-01,,"","",5,2,"Greater London","Bromley","Bromley 018B","Urban major conurbation",London,57,5,E01000675,
BR1 1LG,Yes,51.400924,0.017041,540406,168807,TQ404688,"Greater London","Bromley","Bromley Town", E09000006,E05000109,England,E11000009,"Bromley and Chislehurst",1980-01-01,,"","",3,3,"Greater London","Bromley","Bromley 018B","Urban major conurbation",London,61,5,E01000675,
BR1 1LP,Yes,51.402579,0.01651,540364,168990,TQ403689,"Greater London","Bromley","Bromley Town", E09000006,E05000109,England,E11000009,"Bromley and Chislehurst",1980-01-01,,"","",,,"Greater London","Bromley","Bromley 018B","Urban major conurbation",London,70,5,E01000675,
BR1 1LR,Yes,51.401108,0.01784,540461,168829,TQ404688,"Greater London","Bromley","Bromley Town", E09000006,E05000109,England,E11000009,"Bromley and Chislehurst",1980-01-01,,"","",,,"Greater London","Bromley","Bromley 018B","Urban major conurbation",London,62,5,E01000675,
BR1 1LS,Yes,51.401991,0.018252,540487,168928,TQ404689,"Greater London","Bromley","Bromley Town", E09000006,E05000109,England,E11000009,"Bromley and Chislehurst",1986-04-01,,"","",,,"Greater London","Bromley","Bromley 018B","Urban major conurbation",London,62,5,E01000675,
BR1 1LT,Yes,51.401991,0.018252,540487,168928,TQ404689,"Greater London","Bromley","Bromley Town", E09000006,E05000109,England,E11000009,"Bromley and Chislehurst",1980-01-01,,"","",12,4,"Greater London","Bromley","Bromley 018B","Urban major conurbation",London,62,5,E01000675,
BR1 1LU,Yes,51.401708,0.017463,540433,168895,TQ404688,"Greater London","Bromley","Bromley Town", E09000006,E05000109,England,E11000009,"Bromley and Chislehurst",1983-03-01,,"","",,,"Greater London","Bromley","Bromley 018B","Urban major conurbation",London,64,5,E01000675,
BR1 1LW,Yes,51.40246,0.016102,540336,168976,TQ403689,"Greater London","Bromley","Bromley Town", E09000006,E05000109,England,E11000009,"Bromley and Chislehurst",1980-01-01,,"","",,,"Greater London","Bromley","Bromley 018B","Urban major conurbation",London,68,5,E01000675,
BR1 1LX,Yes,51.400073,0.017391,540433,168713,TQ404687,"Greater London","Bromley","Bromley Town", E09000006,E05000109,England,E11000009,"Bromley and Chislehurst",1980-01-01,,"","",,,"Greater London","Bromley","Bromley 018B","Urban major conurbation",London,54,5,E01000675,
BR1 1NA,Yes,51.405563,0.015534,540287,169320,TQ402693,"Greater London","Bromley","Bromley Town", E09000006,E05000109,England,E11000009,"Bromley and Chislehurst",1980-01-01,,"","",1,1,"Greater London","Bromley","Bromley 008B","Urban major conurbation",London,74,4,E01000676,
BR1 1NF,Yes,51.405516,0.015172,540262,169314,TQ402693,"Greater London","Bromley","Bromley Town", E09000006,E05000109,England,E11000009,"Bromley and Chislehurst",1980-01-01,,"","",7,4,"Greater London","Bromley","Bromley 008B","Urban major conurbation",London,74,4,E01000676,
BR1 1NG,Yes,51.405161,0.015401,540279,169275,TQ402692,"Greater London","Bromley","Bromley Town", E09000006,E05000109,England,E11000009,"Bromley and Chislehurst",1980-01-01,,"","",,,"Greater London","Bromley","Bromley 008B","Urban major conurbation",London,75,4,E01000676,
BR1 1NJ,Yes,51.405403,0.014937,540246,169301,TQ402693,"Greater London","Bromley","Bromley Town", E09000006,E05000109,England,E11000009,"Bromley and Chislehurst",1980-01-01,,"","",,,"Greater London","Bromley","Bromley 008B","Urban major conurbation",London,74,4,E01000676,
BR1 1NN,Yes,51.406105,0.013861,540169,169377,TQ401693,"Greater London","Bromley","Bromley Town", E09000006,E05000109,England,E11000009,"Bromley and Chislehurst",1980-01-01,,"","",3,1,"Greater London","Bromley","Bromley 008B","Urban major conurbation",London,70,4,E01000676,
BR1 1NX,Yes,51.400438,0.018112,540482,168755,TQ404687,"Greater London","Bromley","Bromley Town", E09000006,E05000109,England,E11000009,"Bromley and Chislehurst",2006-09-01,,"","",,,"Greater London","Bromley","Bromley 018B","Urban major conurbation",London,56,5,E01000675,
BR1 1NY,Yes,51.406531,0.013118,540116,169423,TQ401694,"Greater London","Bromley","Bromley Town", E09000006,E05000109,England,E11000009,"Bromley and Chislehurst",1980-01-01,,"","",,,"Greater London","Bromley","Bromley 008B","Urban major conurbation",London,69,4,E01000676,
BR1 1NZ,Yes,51.406929,0.012445,540068,169466,TQ400694,"Greater London","Bromley","Bromley Town", E09000006,E05000109,England,E11000009,"Bromley and Chislehurst",1980-01-01,,"","",14,7,"Greater London","Bromley","Bromley 008B","Urban major conurbation",London,70,4,E01000676,
BR1 1PA,Yes,51.407635,0.013224,540120,169546,TQ401695,"Greater London","Bromley","Bromley Town", E09000006,E05000109,England,E11000009,"Bromley and Chislehurst",1980-01-01,,"","",2,1,"Greater London","Bromley","Bromley 008B","Urban major conurbation",London,72,4,E01000676,
BR1 1PE,Yes,51.408038,0.012278,540053,169589,TQ400695,"Greater London","Bromley","Bromley Town", E09000006,E05000109,England,E11000009,"Bromley and Chislehurst",1980-01-01,,"","",47,34,"Greater London","Bromley","Bromley 008B","Urban major conurbation",London,72,4,E01000676,
BR1 1PF,Yes,51.408696,0.012738,540083,169663,TQ400696,"Greater London","Bromley","Bromley Town", E09000006,E05000109,England,E11000009,"Bromley and Chislehurst",1980-01-01,,"","",12,8,"Greater London","Bromley","Bromley 008B","Urban major conurbation",London,73,4,E01000676,
BR1 1PG,Yes,51.406893,0.011926,540032,169461,TQ400694,"Greater London","Bromley","Bromley Town", E09000006,E05000109,England,E11000009,"Bromley and Chislehurst",1980-01-01,,"","",9,5,"Greater London","Bromley","Bromley 008B","Urban major conurbation",London,70,4,E01000676,
BR1 1PP,Yes,51.407381,0.015988,540313,169523,TQ403695,"Greater London","Bromley","Bromley Town", E09000006,E05000109,England,E11000009,"Bromley and Chislehurst",1993-01-01,,"","",,,"Greater London","Bromley","Bromley 018B","Urban major conurbation",London,70,4,E01000675,
BR1 1PQ,Yes,51.406423,0.012595,540080,169410,TQ400694,"Greater London","Bromley","Bromley Town", E09000006,E05000109,England,E11000009,"Bromley and Chislehurst",1980-01-01,,"","",15,9,"Greater London","Bromley","Bromley 008B","Urban major conurbation",London,70,4,E01000676,
BR1 1PW,Yes,51.405969,0.013366,540135,169361,TQ401693,"Greater London","Bromley","Bromley Town", E09000006,E05000109,England,E11000009,"Bromley and Chislehurst",1980-01-01,,"","",29,12,"Greater London","Bromley","Bromley 008B","Urban major conurbation",London,70,4,E01000676,
BR1 1QA,Yes,51.406479,0.013532,540145,169418,TQ401694,"Greater London","Bromley","Bromley Town", E09000006,E05000109,England,E11000009,"Bromley and Chislehurst",1980-01-01,,"","",13,7,"Greater London","Bromley","Bromley 008B","Urban major conurbation",London,70,4,E01000676,
BR1 1QE,Yes,51.406731,0.015643,540291,169450,TQ402694,"Greater London","Bromley","Bromley Town", E09000006,E05000109,England,E11000009,"Bromley and Chislehurst",1980-01-01,,"","",,,"Greater London","Bromley","Bromley 018B","Urban major conurbation",London,71,4,E01000675,
BR1 1QF,Yes,51.408226,0.017578,540421,169620,TQ404696,"Greater London","Bromley","Bromley Town", E09000006,E05000109,England,E11000009,"Bromley and Chislehurst",2016-05-01,,"","",,,"Greater London","Bromley","Bromley 008B","Urban major conurbation",London,70,4,E01000676,
BR1 1QN,Yes,51.407476,0.016236,540330,169534,TQ403695,"Greater London","Bromley","Bromley Town", E09000006,E05000109,England,E11000009,"Bromley and Chislehurst",1980-01-01,,"","",,,"Greater London","Bromley","Bromley 018B","Urban major conurbation",London,70,4,E01000675,
BR1 1QQ,Yes,51.407432,0.016148,540324,169529,TQ403695,"Greater London","Bromley","Bromley Town", E09000006,E05000109,England,E11000009,"Bromley and Chislehurst",1980-01-01,,"","",1,1,"Greater London","Bromley","Bromley 018B","Urban major conurbation",London,70,4,E01000675,
BR1 1QU,Yes,51.407159,0.016366,540340,169499,TQ403694,"Greater London","Bromley","Bromley Town", E09000006,E05000109,England,E11000009,"Bromley and Chislehurst",1980-01-01,,"","",2,1,"Greater London","Bromley","Bromley 018B","Urban major conurbation",London,70,4,E01000675,
BR1 1QW,Yes,51.407531,0.016699,540362,169541,TQ403695,"Greater London","Bromley","Bromley Town", E09000006,E05000109,England,E11000009,"Bromley and Chislehurst",1980-01-01,,"","",,,"Greater London","Bromley","Bromley 018B","Urban major conurbation",London,70,4,E01000675,
BR1 1QX,Yes,51.406432,0.015745,540299,169417,TQ402694,"Greater London","Bromley","Bromley Town", E09000006,E05000109,England,E11000009,"Bromley and Chislehurst",1980-01-01,,"","",,,"Greater London","Bromley","Bromley 008B","Urban major conurbation",London,72,4,E01000676,
BR1 1RA,Yes,51.407719,0.01097,539963,169551,TQ399695,"Greater London","Bromley","Bromley Town", E09000006,E05000109,England,E11000009,"Bromley and Chislehurst",1995-01-01,,"","",,,"Greater London","Bromley","Bromley 008B","Urban major conurbation",London,70,4,E01000676,
BR1 1RB,Yes,51.407636,0.014777,540228,169549,TQ402695,"Greater London","Bromley","Bromley Town", E09000006,E05000109,England,E11000009,"Bromley and Chislehurst",1980-01-01,,"","",,,"Greater London","Bromley","Bromley 018B","Urban major conurbation",London,70,4,E01000675,
BR1 1RD,Yes,51.408226,0.017578,540421,169620,TQ404696,"Greater London","Bromley","Bromley Town", E09000006,E05000109,England,E11000009,"Bromley and Chislehurst",1980-01-01,,"","",,,"Greater London","Bromley","Bromley 008B","Urban major conurbation",London,70,4,E01000676,
BR1 1RE,Yes,51.407185,0.014297,540196,169498,TQ401694,"Greater London","Bromley","Bromley Town", E09000006,E05000109,England,E11000009,"Bromley and Chislehurst",1980-01-01,,"","",36,17,"Greater London","Bromley","Bromley 008B","Urban major conurbation",London,71,4,E01000676,
BR1 1RF,Yes,51.407342,0.014606,540217,169516,TQ402695,"Greater London","Bromley","Bromley Town", E09000006,E05000109,England,E11000009,"Bromley and Chislehurst",1980-01-01,,"","",37,19,"Greater London","Bromley","Bromley 018B","Urban major conurbation",London,71,4,E01000675,
BR1 1RG,Yes,51.407538,0.017864,540443,169544,TQ404695,"Greater London","Bromley","Bromley Town", E09000006,E05000109,England,E11000009,"Bromley and Chislehurst",1980-01-01,,"","",,,"Greater London","Bromley","Bromley 008B","Urban major conurbation",London,70,4,E01000676,
BR1 1RH,Yes,51.406741,0.016607,540358,169453,TQ403694,"Greater London","Bromley","Bromley Town", E09000006,E05000109,England,E11000009,"Bromley and Chislehurst",1980-01-01,,"","",24,9,"Greater London","Bromley","Bromley 018B","Urban major conurbation",London,71,4,E01000675,
BR1 1RJ,Yes,51.407762,0.018391,540479,169570,TQ404695,"Greater London","Bromley","Bromley Town", E09000006,E05000109,England,E11000009,"Bromley and Chislehurst",1980-01-01,,"","",,,"Greater London","Bromley","Bromley 008B","Urban major conurbation",London,70,4,E01000676,
BR1 1RL,Yes,51.406192,0.016079,540323,169391,TQ403693,"Greater London","Bromley","Bromley Town", E09000006,E05000109,England,E11000009,"Bromley and Chislehurst",1980-01-01,,"","",10,3,"Greater London","Bromley","Bromley 008B","Urban major conurbation",London,73,4,E01000676,
BR1 1RN,Yes,51.406083,0.015629,540292,169378,TQ402693,"Greater London","Bromley","Bromley Town", E09000006,E05000109,England,E11000009,"Bromley and Chislehurst",1980-01-01,,"","",,,"Greater London","Bromley","Bromley 008B","Urban major conurbation",London,72,4,E01000676,
BR1 1RP,Yes,51.407088,0.018362,540479,169495,TQ404694,"Greater London","Bromley","Bromley Town", E09000006,E05000109,England,E11000009,"Bromley and Chislehurst",2005-01-01,,"","",20,13,"Greater London","Bromley","Bromley 018B","Urban major conurbation",London,70,4,E01000675,
BR1 1RW,Yes,51.406266,0.017017,540388,169401,TQ403694,"Greater London","Bromley","Bromley Town", E09000006,E05000109,England,E11000009,"Bromley and Chislehurst",1980-01-01,,"","",5,3,"Greater London","Bromley","Bromley 008B","Urban major conurbation",London,72,4,E01000676,
BR1 1RY,Yes,51.405734,0.017094,540395,169342,TQ403693,"Greater London","Bromley","Bromley Town", E09000006,E05000109,England,E11000009,"Bromley and Chislehurst",1980-01-01,,"","",13,8,"Greater London","Bromley","Bromley 008B","Urban major conurbation",London,73,4,E01000676,
BR1 1SB,Yes,51.407691,0.015225,540259,169556,TQ402695,"Greater London","Bromley","Bromley Town", E09000006,E05000109,England,E11000009,"Bromley and Chislehurst",1999-06-01,,"","",41,14,"Greater London","Bromley","Bromley 018B","Urban major conurbation",London,70,4,E01000675,
BR1 1SD,Yes,51.407972,0.015065,540247,169587,TQ402695,"Greater London","Bromley","Bromley Town", E09000006,E05000109,England,E11000009,"Bromley and Chislehurst",1980-01-01,,"","",,,"Greater London","Bromley","Bromley 018B","Urban major conurbation",London,70,4,E01000675,
